ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
3032,1,1,0,0,0,216749,162328
9426,1,1,0,0,0,222405,4713
40485,1,1,0,0,0,2675,216749
12583,1,1,0,1,1,237190,218857
410,1,1,0,2,1,199488,166706
28741,1,1,0,2,0,1212,212003
50751,1,1,0,2,0,218760,1262
53677,1,1,0,2,0,158613,115670
8305,1,1,0,3,1,46974,123465
11660,1,1,0,3,0,162588,199660
46391,1,1,0,3,0,216749,222203
46609,1,1,0,3,0,167629,159139
34991,1,1,0,4,1,164827,2345
40341,1,1,0,4,0,216749,177330
15427,1,1,0,5,1,216749,59461
16234,1,1,0,5,0,158750,9023
22300,1,1,0,5,0,13441,167837
49946,1,1,0,5,0,32857,63324
53484,1,1,0,5,0,115670,151496
4068,1,1,0,6,1,115672,169790
26821,1,1,0,6,0,98796,2697
51559,1,1,0,6,0,235546,234138
29847,1,1,0,7,1,1439,151337
31731,1,1,0,7,0,132457,129385
42550,1,1,0,7,0,163707,219519
21635,1,1,0,8,1,167633,206949
24745,1,1,0,8,0,164827,210072
5363,1,1,0,9,1,151337,164934
16687,1,1,0,9,0,8064,206167
17600,1,1,0,9,0,216749,218775
22169,1,1,0,9,0,164827,149424
23751,1,1,0,9,0,177481,140430
24321,1,1,0,9,0,137729,113228
32484,1,1,0,9,0,215527,158839
41331,1,1,0,9,0,151337,206924
48281,1,1,0,9,0,216749,1941
50596,1,1,0,9,0,1554,240054
6181,1,1,0,10,1,238381,201509
15111,1,1,0,10,0,6290,158276
6432,1,1,0,11,1,175840,215527
33215,1,1,0,11,0,158767,8063
33889,1,1,0,11,0,110502,225863
5897,1,1,0,12,1,151369,2164
48506,1,1,0,12,0,3908,5691
741,1,1,0,13,1,159139,166741
28051,1,1,0,13,0,13089,26256
44700,1,1,0,14,1,988,158098
14088,1,1,0,15,1,222405,232239
21981,1,1,0,15,0,15,173136
27712,1,1,0,15,0,237338,159816
37365,1,1,0,15,0,136944,140358
19973,1,1,0,16,1,140319,33959
39961,1,1,0,16,0,212005,828
1809,1,1,0,17,1,216749,159152
24964,1,1,0,17,0,151369,10767
32071,1,1,0,17,0,153342,201509
52436,1,1,0,17,0,98796,165573
4859,1,1,0,18,1,216749,149785
10992,1,1,0,18,0,197102,2345
31887,1,1,0,18,0,162328,167649
34089,1,1,0,18,0,147823,233177
3153,1,1,0,19,1,914,19582
18201,1,1,0,19,0,136900,2200
48658,1,1,0,19,0,199729,9565
2219,1,1,0,20,1,5478,216005
13553,1,1,0,20,0,167830,239945
15600,1,1,0,20,0,238381,8317
