ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET,TIME
1808,1,1,0,0,0,215527,14621,0
13933,1,1,0,1,1,147709,163718,1
34802,1,1,0,1,0,157319,218852,1
54276,1,1,0,1,0,11340,2148,1
28741,1,1,0,2,1,195234,159139,2
43448,1,1,0,2,0,153361,144788,2
53677,1,1,0,2,0,216749,1081,2
8305,1,1,0,3,1,153334,163005,3
11660,1,1,0,3,0,163665,163097,3
17083,1,1,0,3,0,8206,22209,3
32298,1,1,0,3,0,153010,173110,3
10991,1,1,0,4,1,12712,26244,4
16234,1,1,0,5,1,11185,137154,5
26526,1,1,0,5,0,215527,162516,5
53484,1,1,0,5,0,216749,170483,5
21802,1,1,0,6,1,7926,231837,6
34391,1,1,0,6,0,1686,169423,6
35463,1,1,0,6,0,5487,236739,6
36795,1,1,0,6,0,167629,158603,6
39896,1,1,0,6,0,153342,110502,6
55232,1,1,0,6,0,215527,8100,6
39420,1,1,0,7,1,110502,2236,7
14909,1,1,0,8,1,70139,162961,8
32089,1,1,0,8,0,195849,8031,8
51525,1,1,0,8,0,151337,2146,8
5363,1,1,0,9,1,153342,217942,9
18847,1,1,0,9,0,166887,215527,9
24064,1,1,0,9,0,216749,104830,9
25434,1,1,0,9,0,159139,235617,9
36486,1,1,0,9,0,6371,233739,9
38955,1,1,0,9,0,215527,147292,9
24207,1,1,0,10,1,11699,2042,10
25849,1,1,0,10,0,167629,83764,10
33215,1,1,0,11,1,216749,124095,11
41759,1,1,0,12,1,221690,101717,12
45660,1,1,0,12,0,215527,139317,12
54446,1,1,0,12,0,162328,201509,12
2287,1,1,0,13,1,215527,12343,13
55900,1,1,0,13,0,132824,224589,13
3909,1,1,0,14,1,167633,8222,14
26626,1,1,0,14,0,235385,227674,14
41525,1,1,0,14,0,8584,21258,14
27712,1,1,0,15,1,32937,159392,15
31934,1,1,0,15,0,215527,139263,15
6878,1,1,0,16,1,137223,196844,16
42923,1,1,0,16,0,153638,163663,16
52436,1,1,0,17,1,167633,2335,17
28317,1,1,0,18,1,13406,147205,18
34089,1,1,0,18,0,215527,9565,18
3153,1,1,0,19,1,215527,3673,19
10286,1,1,0,19,0,2323,226058,19
5808,1,1,0,20,1,149711,167769,20
13553,1,1,0,20,0,8429,176559,20
45352,1,1,0,20,0,167633,153115,20
54775,1,1,0,20,0,216749,837,20
13319,1,1,0,21,1,216756,58588,21
32485,1,1,0,21,0,52713,110502,21
40649,1,1,0,21,0,46991,217392,21
40860,1,1,0,21,0,196882,215527,21
50520,1,1,0,21,0,148203,215527,21
53264,1,1,0,21,0,22781,47479,21
12584,1,1,0,22,1,137742,9308,22
