NAME,ADDRESS,LATITUDE,LONGITUDE,CAPACITY
SKYCITY Hotel,Skytower 72 Victoria St W Auckland Auckland 1010 New Zealand,-36.8483798,174.7623246,1
SKYCITY Grand Hotel,90 Federal St Auckland Auckland 1010 New Zealand,-36.849199,174.7623803,1
Rydges Auckland,59 Federal Street Auckland Auckland 1010 New Zealand,-36.8471782,174.7628401,1
Crowne Plaza,128 Albert St Auckland Auckland 1010 New Zealand,-36.8498957,174.763305,1
The Heritage Hotel,35 Hobson St Auckland Auckland 6001 New Zealand,-36.846738,174.761957,1
Stamford Plaza Auckland,22-26 Albert St Auckland Auckland 1010 New Zealand,-36.8458186,174.7651917,1
Hotel Grand Chancellor Auckland City,1 Hobson St Auckland Auckland 1010 New Zealand,-36.844961,174.762987,1
Vero Centre,48 Shortland Street Auckland 1010 New Zealand,-36.8465856,174.7683778,1
Grand Millenium Auckland,71 Mayoral Dr Auckland Auckland 1010 New Zealand,-36.8528844,174.7607487,1
Pullman Hotel Auckland,Corner Princes Street and Waterloo Quadrant Auckland Auckland 1010 New Zealand,-36.8483318,174.7699298,1
PwC Tower,22/188 Quay St Auckland Auckland 1142 New Zealand,-36.8433291,174.7653386,1
M Social,196-200 Quay St Auckland 1010 New Zealand,-36.8430555,174.7648211,1
Amora Hotel,100 Greys Ave Auckland Auckland 1010 New Zealand,-36.8554053,174.7601744,1
Copthorne Hotel Anzac Avenue,150 Anzac Ave Auckland Auckland 1140 New Zealand,-36.8496543,174.7736412,1
Princes Wharf,Princes Wharf Quay Street Auckland Auckland 1010 New Zealand,-36.8403992,174.7649817,1
Maritime Museum,Quay St Auckland Auckland Auckland 1140 New Zealand,-36.8416252,174.763388,1
The Langham,83 Symonds St Grafton Auckland 1010 New Zealand,-36.8574738,174.7640734,1
Ports of Auckland,Level 1 Ports of Auckland Building/1 Sunderland St Parnell Auckland 1010 New Zealand,-36.8465551,174.7852229,1
Auckland Rose Park Hotel,92-102 Gladstone Rd Parnell Auckland 1010 New Zealand,-36.8507734,174.78559,1
Westfield St. Lukes,80 St Lukes Rd St Lukes Auckland 1346 New Zealand,-36.8828849,174.7331998,1
Alexandra Park,Greenlane West Road and Manukau Road Greenlane Auckland 1051 New Zealand,-36.8924608,174.776342,1
ASB Showgrounds,217 Green Lane West Greenlane Auckland 1051 New Zealand,-36.8926082,174.782511,1
Auckland Racing Club,80 Ascot Avenue Remuera Auckland 1051 New Zealand,-36.8890125,174.79948,1
Spencer on Byron,9-17 Byron Ave Takapuna Beach Auckland 0622 New Zealand,-36.790911,174.771261,1
Central Park Corporate Centre,666 Great South Rd Greenlane Auckland 1051 New Zealand,-36.9017691,174.807087,1
Westfield Glenfield,Glenfield Rd and Downing Street Glenfield Auckland 0629 New Zealand,-36.7835036,174.7214281,1
Waipuna Hotel & Conference Centre,58 Waipuna Rd Mount Wellington Auckland 1060 New Zealand,-36.9087085,174.8459027,1
Sylvia Park,286 Mount Wellington Hwy Mount Wellington Auckland 1060 New Zealand,-36.915136,174.839393,1
Westfield WestCity,7 Catherine St Henderson Auckland 0612 New Zealand,-36.8804378,174.6325657,1
Holiday Inn Auckland Airport Hotel,2 Ascot Road Mangere Auckland 2022 New Zealand,-36.9730687,174.7858439,1
Botany Town Centre,588 Chapel Rd East Tamaki Auckland 2016 New Zealand,-36.9337603,174.912925,1
