ID,NAME,LATITUDE,LONGITUDE,NODE,REQUESTS,POPULARITY,CAPACITY,CHARGERS_PLUGIN,CHARGERS_WIRELESS,TAXIS_ELECTRIC,TAXIS_COMBUSTION
1,Hauptbahnhof,48.994143,8.399812,215527,5837,0.365956113,20,2,5,10,0
2,Weinbrennerstr,49.010521,8.359905,238381,720,0.045141066,20,2,5,5,0
3,Karlstr/ Europaplatz,49.009089,8.395025,216749,2753,0.172601881,20,2,5,10,0
4,Kaiserallee,49.010315,8.386062,199729,397,0.024890282,20,0,0,5,0
5,Baumeisterstr/ Wilhelmstr,49.004035,8.405683,167633,448,0.028087774,20,2,5,5,0
6,Vincentiusklinik SYdendstr,48.998854,8.389132,212005,292,0.01830721,20,2,5,5,0
7,Kugmaulstr,49.019307,8.371343,22781,132,0.008275862,20,2,5,5,0
8,Adenauerring 7,49.011149,8.418083,261,50,0.003134796,20,0,0,0,0
9,Durlach Bahnhof,49.001635,8.462633,151337,985,0.061755486,20,2,5,10,0
10,Grstzingen Bahnhof,49.006434,8.492494,163025,32,0.00200627,20,0,0,0,0
11,Hagsfeld Bahnhof,49.027384,8.454416,137742,80,0.005015674,20,0,0,0,0
12,Durlach Hengstplatz,48.999865,8.476193,151369,211,0.01322884,20,2,5,5,0
13,Hauptfriedhof,49.017517,8.438742,1873,99,0.006206897,20,0,0,0,0
14,Kaiserstr/ Kapellenstr,49.008808,8.416375,167629,1304,0.081755486,20,0,0,10,0
15,Lammstr/ Hebelstr,49.00803,8.40183,167641,269,0.016865204,20,0,0,5,0
16,Zirkel 21-23,49.010131,8.403532,988,317,0.019874608,20,0,0,5,0
17,Vincentiusklinik Steinh. Str,48.999814,8.380849,222410,129,0.008087774,20,0,0,5,0
18,Hauptbahnhof SYd,48.992244,8.400622,110502,1288,0.080752351,20,0,0,10,0
19,Diakonissen-Krankenhaus,48.972379,8.411933,163709,28,0.001755486,20,0,0,0,0
20,Eichelbergstr/Edelbergstr,48.998524,8.350161,104039,35,0.002194357,20,0,0,0,0
21,Rheinbryckenstr/ Herweghstr,49.030596,8.340906,209718,65,0.004075235,20,0,0,0,0
22,Erzbergerstr/ Kanalweg,49.030607,8.386193,218349,19,0.001191223,20,0,0,0,0
23,Bsrenweg,49.046964,8.378649,177644,44,0.002758621,20,0,0,0,0
24,Baumeisterstr/ Festplatz,49.003869,8.401692,159139,325,0.020376176,20,0,0,5,0
25,Adenauerring 17,49.021114,8.412055,162588,87,0.005454545,20,0,0,0,0
26,Neue Messe,48.981442,8.328371,166024,4,0.000250784,20,0,0,0,0
